Ref,Val,Package,PosX,PosY,Rot,Side
"DUMMY2","logo_back","mikoto-logo",0.000000,-14.500000,180.000000,bottom
"AE1","Antenna","2.4GHz-meander-antenna-v2",5.290000,-10.150000,0.000000,top
"C1","4.7uF","C_0402_1005Metric",3.450000,0.725000,-90.000000,top
"C2","100nF","C_0402_1005Metric",-4.500000,-6.550000,0.000000,top
"C3","100nF","C_0402_1005Metric",4.525000,-4.975000,-90.000000,top
"C4","100nF","C_0402_1005Metric",-4.500000,-4.050000,180.000000,top
"C5","1pF","C_0402_1005Metric",2.850000,-10.500000,90.000000,top
"C6","15pF","C_0402_1005Metric",5.470000,-8.900000,180.000000,top
"C7","15pF","C_0402_1005Metric",5.625000,-4.975000,90.000000,top
"C8","1uF","C_0402_1005Metric",-1.100000,0.275000,0.000000,top
"C9","1pF","C_0402_1005Metric",1.250000,-8.175000,180.000000,top
"C10","100nF","C_0402_1005Metric",2.500000,0.725000,90.000000,top
"C11","100pF","C_0402_1005Metric",3.125000,-8.075000,0.000000,top
"C12","1nF","C_0402_1005Metric",-0.450000,-8.800000,-90.000000,top
"C13","4.7uF","C_0402_1005Metric",-3.150000,0.700000,90.000000,top
"C14","4.7uF","C_0402_1005Metric",-4.500000,-0.125000,90.000000,top
"C15","1uF","C_0402_1005Metric",4.275000,-1.425000,-90.000000,top
"C16","47nF","C_0402_1005Metric",5.200000,-1.425000,-90.000000,top
"C17","15pF","C_0402_1005Metric",3.400000,2.600000,-90.000000,top
"C18","15pF","C_0402_1005Metric",0.100000,2.600000,-90.000000,top
"C19","10nF","C_0402_1005Metric",-3.450000,-9.200000,90.000000,top
"C20","4.7uF","C_0402_1005Metric",-4.950000,3.200000,90.000000,top
"C21","10uF","C_0603_1608Metric",-3.125000,3.450000,0.000000,top
"C22","1.5pF","C_0402_1005Metric",4.810000,-10.950000,0.000000,top
"C23","1uF","C_0402_1005Metric",2.050000,3.575000,0.000000,top
"C24","4.7uF","C_0402_1005Metric",0.175000,6.850000,-90.000000,top
"C25","4.7uF","C_0402_1005Metric",-0.825000,2.600000,-90.000000,top
"C26","4.7uF","C_0402_1005Metric",5.600000,6.350000,180.000000,top
"D1","BLUE","LED_0603_1608Metric",-5.700000,8.500000,-90.000000,top
"D3","ORANGE","LED_0603_1608Metric",5.700000,8.500000,-90.000000,top
"D5","SBR130S3","D_SOD-323",-1.250000,5.650000,90.000000,top
"DUMMY1","logo_front","mikoto-logo",0.000000,-13.000000,0.000000,top
"F1","Polyfuse_Small","Fuse_0402_1005Metric",0.075000,4.650000,90.000000,top
"J1","USB_C_Receptacle_USB2.0","USB-C_C168688",0.000000,17.550000,0.000000,top
"J4","PTH","PTH-0.8_0.45mm",4.300000,10.200000,0.000000,top
"J5","PTH","PTH-0.8_0.45mm",-4.300000,10.200000,0.000000,top
"L1","3.9nH","L_0402_1005Metric",1.400000,-9.550000,135.000000,top
"L2","15nH","L_0402_1005Metric",5.650000,1.650000,90.000000,top
"L3","10uH","L_0603_1608Metric",4.575000,1.200000,-90.000000,top
"L4","10uH","L_0603_1608Metric",-3.125000,2.175000,0.000000,top
"R1","3.9k","R_0402_1005Metric",5.250000,3.200000,0.000000,top
"R2","10M","R_0402_1005Metric",-4.000000,7.725000,180.000000,top
"R3","2M","R_0402_1005Metric",-4.900000,-8.900000,0.000000,top
"R4","10M","R_0402_1005Metric",-4.900000,-9.900000,180.000000,top
"R5","1.5k","R_0402_1005Metric",-4.000000,8.700000,180.000000,top
"R6","10k","R_0402_1005Metric",5.600000,4.475000,0.000000,top
"R7","10k","R_0402_1005Metric",0.575000,1.200000,180.000000,top
"R8","10k","R_0402_1005Metric",5.600000,5.425000,0.000000,top
"R9","5.1k","R_0402_1005Metric",1.750000,9.050000,0.000000,top
"R10","5.1k","R_0402_1005Metric",-2.575000,8.225000,-90.000000,top
"R11","0R","R_0402_1005Metric",4.780000,-10.025000,0.000000,top
"R12","2M","R_0402_1005Metric",-4.900000,-7.900000,180.000000,top
"U1","nRF52840","Nordic_AQFN-73-1EP_7x7mm_P0.5mm",0.000000,-3.800000,-90.000000,top
"U2","BQ24075/9","VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm",2.650000,6.100000,180.000000,top
"U3","XC6220B331MR","SOT-23-5",-3.800000,5.700000,180.000000,top
"U4","mikoto-pins","mikoto-pins",0.000000,-1.270000,0.000000,top
"U5","ESDR0502NMUTAG","UDFN-6_1.2x1.0mm_P0.4mm",-0.900000,7.950000,90.000000,top
"Y1","32MHz","Crystal_SMD_2016-4Pin_2.0x1.6mm",5.175000,-7.175000,90.000000,top
"Y2","32.768 kHz","Crystal_SMD_2012-2Pin_2.0x1.2mm",1.750000,2.400000,180.000000,top
