Designator,Mid X,Mid Y,Rotation,Layer
AE1,5.29,-10.45,0.0,top
C1,3.45,0.725,270.0,top
C10,2.5,0.725,90.0,top
C11,3.125,-8.175,0.0,top
C12,-0.45,-8.8,270.0,top
C13,-3.15,0.7,90.0,top
C14,-4.5,-0.125,90.0,top
C15,4.275,-1.425,270.0,top
C16,5.2,-1.425,270.0,top
C17,3.4,2.6,270.0,top
C18,0.1,2.6,270.0,top
C19,-4.925,-7.725,180.0,top
C2,-4.7,-6.55,0.0,top
C20,-4.95,3.2,90.0,top
C21,-3.125,3.45,0.0,top
C22,4.81,-11.05,0.0,top
C23,2.05,3.575,0.0,top
C24,0.175,6.85,270.0,top
C25,-0.825,2.6,90.0,top
C26,5.6,6.35,180.0,top
C3,4.525,-4.975,270.0,top
C4,-4.7,-4.05,0.0,top
C5,2.99,-9.69,270.0,top
C6,5.47,-8.9,180.0,top
C7,5.625,-4.975,90.0,top
C8,-1.1,0.275,180.0,top
C9,1.25,-8.175,180.0,top
D1,-5.7,8.5,270.0,top
D3,5.7,8.5,270.0,top
D5,-1.25,5.2,90.0,top
DUMMY1,0.0,-13.0,0.0,top
DUMMY2,0.0,-14.5,0.0,bottom
F1,0.175,4.65,90.0,top
J1,0.0,17.55,0.0,top
J4,4.3,10.2,0.0,top
J5,-4.3,10.2,0.0,top
L1,1.38,-9.54,135.0,top
L2,5.65,1.65,90.0,top
L3,4.575,1.2,270.0,top
L4,-3.125,2.175,0.0,top
R1,5.25,3.2,0.0,top
R10,-2.575,8.225,270.0,top
R11,4.78,-10.17,0.0,top
R2,-4.0,7.725,180.0,top
R3,-3.0,-10.875,0.0,top
R4,-2.125,-9.525,270.0,top
R5,-4.0,8.7,180.0,top
R6,5.6,4.475,0.0,top
R7,0.575,1.2,180.0,top
R8,5.6,5.425,0.0,top
R9,1.75,9.05,0.0,top
U1,0.0,-3.8,270.0,top
U2,2.65,6.1,180.0,top
U3,-3.8,5.7,180.0,top
U4,0.0,-1.27,0.0,top
U5,-0.9,7.95,90.0,top
U6,-4.675,-9.375,0.0,top
Y1,5.175,-7.175,90.0,top
Y2,1.75,2.4,180.0,top
